CONTROL,VIV_SEL,HOGAR,R_SEL,FAC_ELE
0140310,03,01,01,000175
0140310,04,01,04,000700
0140310,05,01,01,000175
0140311,01,01,02,000804
0140311,02,01,02,000402
0140311,03,01,01,000201
0140311,04,01,03,000603
0140311,05,01,04,000804
0140312,01,01,02,000429
0140312,02,01,01,000572
0140312,03,01,01,000572
0140312,04,01,02,000286
0140312,05,01,03,000715
0140313,01,01,02,000394
0140313,02,01,01,000394
0140313,03,01,01,000394
0140313,04,01,02,000394
0140313,05,01,02,000394
0140315,01,01,05,000835
0140315,02,01,02,000334
0140315,03,01,02,000334
0140315,04,01,02,000334
0140315,05,01,01,000334
0140316,01,01,01,000392
0140316,02,01,02,000588
0140316,03,01,01,000784
0140316,04,01,03,000980
0140316,05,01,02,000588
0140318,01,01,01,000161
0140318,02,01,01,000322
0140318,02,02,01,000161
0140318,03,01,01,000161
0140318,04,01,02,000644
0140318,05,01,01,000322
0140320,01,01,05,001068
0140320,02,01,02,000534
0140320,03,01,01,000356
0140320,04,01,02,000534
0140320,05,01,02,000534
0140321,01,01,02,000338
0140321,01,02,02,000338
0140321,02,01,01,000169
0140321,04,01,03,000507
0140321,05,01,01,000338
0140322,01,01,01,000366
0140322,02,01,03,000732
0140322,03,01,01,000366
0140322,04,01,04,000732
0140322,05,01,02,000366
0140330,01,01,02,000284
0140330,02,01,02,000284
0140330,03,01,02,000284
0140330,04,01,01,000284
0140331,01,01,02,000935
0140331,02,01,01,000374
0140331,03,01,01,000748
0140331,04,01,01,000748
0140331,05,01,01,000374
0140333,01,01,01,000392
0140333,02,01,01,000392
0140333,03,01,01,000784
0140333,04,01,01,000392
0140333,05,01,03,000588
0140334,02,01,02,000240
0140334,03,01,01,000240
0140334,04,01,01,000240
0140334,05,01,02,000360
0140335,01,01,01,000336
0140335,02,01,01,000336
0140335,03,01,02,000336
0140335,05,01,01,000336
0140336,01,01,01,000392
0140336,02,01,02,000392
0140336,03,01,03,000784
0140336,05,01,02,000392
0140337,01,01,01,000356
0140337,02,01,02,000890
0140337,03,01,02,000356
0140337,03,02,01,000712
0140337,04,01,01,000356
0140337,05,01,02,000356
0140338,01,01,01,000880
0140338,03,01,01,000660
0140338,05,01,02,000440
0140339,01,01,01,000180
0140339,02,01,02,000360
0140339,03,01,01,000180
0140339,04,01,02,000360
0140340,01,01,01,000915
0140340,02,01,02,000366
0140340,03,01,01,000549
0140340,04,01,01,000366
0140340,05,01,01,000183
0140345,01,01,01,000360
0140345,02,01,02,000540
0140345,03,01,03,000900
0140345,04,01,01,000360
0140345,05,01,01,000360
0140346,01,01,01,000388
0140346,02,01,03,000776
0140346,03,01,04,000388
0140346,05,01,02,000388
0140348,01,01,04,001928
0140348,02,01,01,000241
